absent,liban,lumiban,lumiliban,liliban
swallow,lunok,lumunok,lumulunok,lulunok
take,kuha',kumuha',kumukuha',kukuha'
test (try out),subok,sumubok,sumusubok,susubok
think,isip,umisip,umiisip,iisip
travel (by plane),lipad,lumipad,lumilipad,lilipad
understand (something),intindi,umintindi,umiintindi,iintindi
use,gamit,gumamit,gumagamit,gagamit
violate (an order),suway,sumuway,sumusuway,susuway
violate (a law),labag,lumabag,lumalabag,lalabag
visit,dalaw,dumalaw,dumadalaw,dadalaw
visit,bisita,bumisita,bumibista,bibisita
vote,boto,bumoto,bumoboto,boboto
walk,lakad,lumakad,lumalakad,lalakad
watch (movie),nood,nanood,nanonood,manonood
whisper,bulong,bumulong,bumubulong,bubulong
whistle,sipol,sumipol,sumisipol,sisipol
whistle,huni,humuni,humuhuni,huhuni
withdraw (money),kuha (withdraw),kumuha (nag-withdraw),kumukuha (nagwi-withdraw),kukuha (magwi-withdraw)
withdraw (from activity),alis,umalis,umaalis, aalis
write (someone),sulat,sumulat,sumusulat,susulat
yes (to say yes to),oo,umoo,umooo,ooo
